"","male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","gen_health","close_to_people","part_of_school","students_prejudiced","happy_at_school","teachers_fair","school_feels_safe"
"3856",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,50000,10.8197982842103,"(1) (1) Excellent",1,2,3,2,2,2
"3857",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,40000,10.5966597327836,"(2) (2) Very good",2,2,4,2,2,2
"3858",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",2,2,1,4,5,4
"3859",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7000,8.8538082749772,"(1) (1) Excellent",4,2,2,4,4,2
"3860",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,50000,10.8197982842103,"(3) (3) Good",3,2,4,2,2,2
"3861",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7,25000,10.1266711030504,"(2) (2) Very good",2,1,1,3,1,3
"3862",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,25000,10.1266711030504,"(3) (3) Good",2,2,4,2,3,3
"3863",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(4) (4) Fair",1,1,5,4,4,1
"3864",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,10000,9.21044036697652,"(2) (2) Very good",2,3,4,2,2,2
"3865",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(1) (1) Excellent",1,1,4,1,2,1
"3866",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,75000,11.2252567257629,"(2) (2) Very good",1,1,1,1,2,2
"3867",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(1) (1) Excellent",1,1,3,2,1,2
"3868",TRUE,NA,NA,NA,NA,NA,TRUE,7,NA,NA,"(2) (2) Very good",1,1,5,2,1,3
"3869",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9000,9.10509096125709,"(1) (1) Excellent",1,2,1,2,3,2
"3870",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,8,6000,8.69968140098951,"(2) (2) Very good",2,2,4,1,1,1
"3871",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,45000,10.7144399907278,"(1) (1) Excellent",2,2,5,2,2,1
"3872",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,53000,10.8780660602808,"(2) (2) Very good",1,1,3,1,1,1
"3873",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,17000,9.74102744483773,"(3) (3) Good",2,4,4,1,5,5
"3874",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,60000,11.002116507732,"(2) (2) Very good",2,2,3,2,2,2
"3875",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7,NA,NA,"(4) (4) Fair",1,1,5,1,3,4
"3876",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30000,10.3089859934221,"(2) (2) Very good",2,2,4,2,2,1
"3877",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(2) (2) Very good",3,2,4,2,2,2
"3878",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1e+05,11.5129354649202,"(2) (2) Very good",2,2,3,2,1,2
"3879",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",5,5,1,5,5,5
"3880",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",5,5,1,5,5,4
"3881",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(1) (1) Excellent",2,2,4,2,2,2
"3882",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,NA,NA,"(2) (2) Very good",2,2,4,3,3,4
"3883",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7,NA,NA,"(3) (3) Good",3,4,5,3,2,2
"3884",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7,42000,10.6454487065059,"(2) (2) Very good",2,1,3,2,2,3
"3885",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,NA,NA,"(2) (2) Very good",2,4,4,1,5,5
"3886",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(3) (3) Good",4,3,4,2,4,2
"3887",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,35000,10.463131911492,"(3) (3) Good",5,5,5,5,2,2
"3888",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7,55000,10.9151066458675,"(1) (1) Excellent",3,2,2,2,2,2
"3889",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,NA,NA,"(1) (1) Excellent",1,2,3,2,1,1
"3890",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,95000,11.4616426968431,"(2) (2) Very good",2,4,5,3,3,2
"3891",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,36000,10.4913019948302,"(2) (2) Very good",2,1,3,1,1,1
"3892",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,7,36000,10.4913019948302,"(3) (3) Good",2,1,3,1,1,2
"3893",FALSE,NA,NA,NA,NA,NA,TRUE,NA,16000,9.68040649926887,NA,NA,NA,NA,NA,NA,NA
"3894",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7,NA,NA,"(3) (3) Good",1,2,4,2,2,2
"3895",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,90000,11.4075760603618,"(2) (2) Very good",3,3,3,2,1,3
"3896",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,31000,10.3417747410115,"(2) (2) Very good",2,2,4,3,1,1
"3897",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,43000,10.6689786502192,"(2) (2) Very good",3,3,2,4,3,3
"3898",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,70000,11.1562648066437,"(1) (1) Excellent",1,1,5,4,1,1
"3899",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,70000,11.1562648066437,"(1) (1) Excellent",1,1,5,1,2,2
"3900",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,130000,11.7752974217158,"(1) (1) Excellent",3,3,1,3,4,1
"3901",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(1) (1) Excellent",1,1,4,1,2,1
"3902",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,20000,9.90353755128617,"(1) (1) Excellent",3,2,2,2,2,2
"3903",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,45000,10.7144399907278,"(3) (3) Good",2,2,5,2,3,2
"3904",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(1) (1) Excellent",4,5,3,5,2,4
"3905",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,50000,10.8197982842103,"(2) (2) Very good",3,2,3,3,3,3
"3906",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(2) (2) Very good",3,2,3,2,2,3
"3907",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,50000,10.8197982842103,"(2) (2) Very good",5,4,2,4,2,3
"3908",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,45000,10.7144399907278,"(1) (1) Excellent",2,2,3,1,1,1
"3909",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,35000,10.463131911492,"(2) (2) Very good",2,2,2,2,2,2
"3910",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7,NA,NA,"(3) (3) Good",2,2,2,2,2,2
"3911",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",4,4,2,4,3,4
"3912",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,40000,10.5966597327836,"(2) (2) Very good",1,1,2,1,3,4
"3913",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,25000,10.1266711030504,"(2) (2) Very good",2,2,2,2,2,2
"3914",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,10000,9.21044036697652,"(1) (1) Excellent",2,4,4,4,3,4
"3915",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,67000,11.1124628236349,"(2) (2) Very good",3,2,2,2,3,2
"3916",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,38000,10.5453677541517,"(3) (3) Good",1,3,1,5,3,4
"3917",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,44000,10.6919676399149,"(1) (1) Excellent",1,1,2,1,5,1
"3918",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",2,2,3,2,2,1
"3919",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,50000,10.8197982842103,"(2) (2) Very good",1,1,3,1,5,1
"3920",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,60000,11.002116507732,"(2) (2) Very good",3,3,3,3,2,2
"3921",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,48000,10.7789771230064,"(1) (1) Excellent",2,3,3,4,4,1
"3922",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,15000,9.61587214452889,"(3) (3) Good",2,1,4,2,3,1
