"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
1,0,1,0,0,0,0,9,NA,NA,0,0,0,0,0
0,1,0,0,0,0,0,8,25000,10.1266711030504,0,0,0,0,1
1,1,0,0,0,0,0,12,NA,NA,0,1,1,0,5
0,1,0,0,0,0,0,10,108000,11.5898957653227,1,1,1,0,1
1,1,0,0,0,0,0,10,70000,11.1562648066437,1,1,0,0,3
0,0,1,0,0,0,0,10,12000,9.39274525863144,0,1,0,0,1
1,1,0,0,0,0,0,11,65000,11.0821579333748,0,0,0,0,3
1,1,0,0,0,0,0,8,NA,NA,1,0,0,0,2
0,1,0,0,0,0,0,11,11000,9.30574145673943,1,1,0,0,2
0,1,0,0,0,0,0,7,16000,9.68040649926887,0,0,0,0,1
0,1,0,0,0,0,0,9,53000,10.8780660602808,0,0,0,0,1
1,0,1,0,0,0,0,10,NA,NA,1,0,0,0,0
0,1,0,0,0,0,0,9,1e+05,11.5129354649202,0,0,0,0,1
1,1,0,0,0,0,0,11,4000,8.29429960885724,0,0,0,0,0
1,1,0,0,0,0,0,11,18000,9.7981825908907,1,1,1,0,4
1,0,1,0,0,0,0,12,45000,10.7144399907278,0,0,0,0,1
1,0,1,0,0,0,0,10,35000,10.463131911492,0,1,0,0,1
0,0,1,0,0,0,0,8,6000,8.69968140098951,1,0,0,0,5
0,1,0,0,0,0,0,12,NA,NA,1,1,1,0,2
1,0,1,0,0,0,0,9,NA,NA,1,0,1,0,4
1,1,0,0,0,0,0,9,30000,10.3089859934221,1,0,1,0,2
0,1,0,0,0,0,1,NA,NA,NA,NA,0,0,0,NA
1,1,0,0,0,0,0,11,50000,10.8197982842103,0,1,1,0,12
1,0,1,0,0,0,0,11,73000,11.1982284186668,1,1,1,0,1
1,1,0,0,0,0,0,10,20000,9.90353755128617,0,0,0,0,0
0,NA,NA,NA,NA,NA,1,9,250000,12.4292201968364,0,0,0,0,3
0,1,0,1,0,0,0,9,NA,NA,0,0,0,0,1
1,1,0,0,0,0,0,9,50000,10.8197982842103,0,0,0,0,0
1,0,1,0,0,0,0,7,40000,10.5966597327836,1,1,1,0,0
1,0,0,0,0,1,1,12,40000,10.5966597327836,1,1,0,0,6
1,1,0,0,1,0,0,11,33000,10.4042931430198,0,0,0,0,0
0,1,0,1,0,0,0,11,27000,10.2036291813376,1,1,1,0,3
1,0,1,0,0,0,0,9,41000,10.6213517356329,1,0,0,0,3
0,0,0,1,0,0,1,9,22000,9.99884318585288,0,0,0,0,0
1,1,0,0,0,0,0,7,35000,10.463131911492,0,1,0,0,3
1,0,1,0,0,0,0,9,85000,11.3504183001091,1,1,1,0,2
1,1,0,0,0,0,0,10,22000,9.99884318585288,1,0,0,0,0
1,0,1,0,0,0,0,8,24000,10.0858507751287,NA,NA,NA,NA,NA
1,1,0,0,0,0,0,12,NA,NA,1,1,1,0,3
0,1,0,0,0,0,0,10,5e+05,13.1223653774023,0,0,0,0,1
0,1,0,0,0,0,0,8,14000,9.54688403461792,1,1,0,0,3
1,0,1,0,0,0,0,10,NA,NA,0,0,0,0,3
0,1,0,0,0,0,0,12,NA,NA,1,1,1,0,5
1,1,1,0,0,0,0,11,12000,9.39274525863144,0,0,1,0,0
1,1,0,0,0,0,0,10,NA,NA,0,0,0,0,6
0,0,0,0,0,1,1,12,24000,10.0858507751287,0,1,0,0,2
1,1,0,0,0,0,0,7,NA,NA,0,0,0,0,3
0,1,0,0,0,0,0,11,75000,11.2252567257629,1,1,1,0,7
0,1,0,0,0,0,0,10,50000,10.8197982842103,1,1,0,0,2
1,0,0,0,1,0,0,10,NA,NA,0,0,0,0,1
1,1,0,0,0,0,0,11,NA,NA,0,1,1,0,6
1,1,0,0,0,0,0,11,78000,11.2644769261024,1,1,0,0,4
0,1,0,0,0,0,0,11,NA,NA,1,1,0,0,1
0,1,0,0,0,0,0,12,NA,NA,1,1,1,1,2
1,1,0,0,0,0,0,9,30000,10.3089859934221,1,1,NA,1,0
0,1,0,0,0,0,0,8,20000,9.90353755128617,1,0,0,0,2
0,1,0,0,0,0,0,8,NA,NA,0,1,0,0,5
0,0,1,0,0,0,0,10,NA,NA,1,0,0,0,1
1,0,1,0,0,0,0,9,30000,10.3089859934221,0,0,1,1,1
0,1,0,0,0,0,0,11,NA,NA,0,1,0,0,2
0,0,1,0,0,0,0,11,30000,10.3089859934221,0,0,1,0,2
1,0,1,0,0,0,0,8,70000,11.1562648066437,0,0,0,0,4
0,0,1,0,0,0,0,9,28000,10.2399955028053,1,0,1,0,7
0,1,0,0,0,0,0,10,150000,11.9183972397228,1,1,0,0,1
1,0,1,0,0,0,0,11,25000,10.1266711030504,1,0,0,0,0
1,1,0,1,0,0,NA,7,15000,9.61587214452889,1,1,NA,NA,NA
0,1,0,0,0,0,0,11,0,0,1,1,1,0,4
0,1,0,0,0,0,0,10,57000,10.9508240905224,1,1,0,0,7
0,0,1,0,0,0,0,7,112000,11.6262630788088,0,0,0,0,6
0,0,1,0,0,0,0,7,NA,NA,1,0,0,0,5
1,1,0,0,0,0,0,12,NA,NA,1,1,1,0,3
1,1,0,0,0,0,0,9,80000,11.2897944135779,0,0,0,0,2
0,1,0,0,0,0,0,7,18000,9.7981825908907,1,1,0,0,6
1,1,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,1,0,9,13000,9.47278155656217,1,0,0,0,1
0,1,0,0,0,0,1,8,NA,NA,0,0,0,0,0
