"female","age","race","hispanic","education","income","log_income"
1,55,"White",0,"HS",59000,10.9852927228879
1,56,"White",0,"4+ years college",22900,10.0388921895423
1,47,"White",0,"HS",31800,10.3672215687683
1,28,"White",0,"4+ years college",20000,9.90348755253613
1,57,"White",1,"4+ years college",18000,9.7981270368783
0,94,"White",0,"4+ years college",30100,10.312280450737
0,29,"White",0,"HS",30000,10.3089526606443
1,61,"White",0,"HS",25700,10.1542462708833
1,62,"White",0,"Some college",53600,10.8893043470589
1,66,"White",0,"Some college",24500,10.1064283965328
0,51,"White",0,"HS",14000,9.5468126085974
1,36,"White",1,"HS",24000,10.0858091093301
0,47,"White",0,"4+ years college",40000,10.5966347330961
0,56,"Black/African American/Negro",0,"No HS",12000,9.39266192877014
1,45,"White",0,"4+ years college",47000,10.7579028806922
0,47,"White",0,"4+ years college",180000,12.1007121298723
1,71,"Black/African American/Negro",0,"HS",27800,10.2327912996787
0,39,"White",0,"HS",30000,10.3089526606443
0,45,"White",0,"Some college",50000,10.8197782844103
1,34,"White",1,"Some HS",16000,9.68034400122192
1,23,"Other race, nec",1,"HS",20000,9.90348755253613
0,52,"White",0,"Some college",50000,10.8197782844103
1,21,"White",0,"Some college",3000,8.00636756765025
0,64,"White",0,"4+ years college",82200,11.3169105810443
1,51,"Other race, nec",1,"HS",14000,9.5468126085974
1,21,"Black/African American/Negro",1,"HS",10000,9.21034037197618
1,32,"White",0,"4+ years college",142000,11.8635823365834
1,20,"Black/African American/Negro",0,"Some HS",13400,9.503009985939
1,36,"White",0,"4+ years college",100000,11.5129254649702
1,39,"White",0,"HS",47000,10.7579028806922
1,41,"White",0,"4+ years college",30000,10.3089526606443
1,66,"White",0,"Some college",56400,10.9402244374862
0,22,"White",0,"HS",10000,9.21034037197618
0,28,"White",0,"Some HS",14700,9.59560277276683
1,45,"White",0,"HS",48000,10.77895628989
1,82,"Other race, nec",1,"Some college",16700,9.72316399840485
0,41,"White",0,"4+ years college",105000,11.5617156291397
1,68,"White",0,"HS",43400,10.6782147200885
1,59,"White",0,"HS",10000,9.21034037197618
0,74,"White",0,"4+ years college",112800,11.6333716180461
0,49,"White",0,"HS",20000,9.90348755253613
0,54,"White",0,"HS",35050,10.4645308924627
1,54,"White",0,"HS",2600,7.86326672400957
0,61,"White",0,"4+ years college",35000,10.4631033404715
1,42,"White",0,"Some college",3500,8.1605182474775
0,35,"White",0,"4+ years college",87250,11.3765328400647
1,42,"Other race, nec",1,"HS",18000,9.7981270368783
1,61,"White",0,"4+ years college",250,5.52146091786225
0,64,"White",0,"HS",54000,10.8967393255464
1,52,"White",0,"Some college",108500,11.5945054519627
1,64,"White",0,"HS",266000,12.4912515877638
1,44,"Other race, nec",1,"HS",31000,10.3417424834673
1,61,"White",0,"4+ years college",123000,11.7199396343546
0,39,"Other Asian or Pacific Islander",0,"4+ years college",10000,9.21034037197618
0,28,"Black/African American/Negro",0,"No HS",8400,9.03598698483141
1,54,"White",0,"4+ years college",90000,11.4075649493124
0,71,"White",0,"4+ years college",48000,10.77895628989
1,39,"White",1,"4+ years college",38000,10.5453414387085
0,53,"White",0,"HS",58000,10.9681982895286
0,65,"White",0,"HS",2600,7.86326672400957
1,68,"White",0,"Some college",18300,9.81465633882951
1,35,"White",0,"4+ years college",120000,11.6952470217642
0,61,"Black/African American/Negro",0,"Some college",22800,10.0345158149425
0,45,"White",0,"4+ years college",100000,11.5129254649702
0,25,"White",0,"Some college",26000,10.1658518170036
1,52,"White",0,"4+ years college",36300,10.4995730202529
1,51,"White",0,"Some college",38000,10.5453414387085
1,88,"White",0,"HS",8400,9.03598698483141
0,69,"White",0,"HS",63400,11.0572191404253
0,77,"White",0,"No HS",26400,10.1811192891344
1,66,"Other Asian or Pacific Islander",0,"HS",7400,8.90923527919226
0,53,"White",0,"Some college",86000,11.3621025752356
1,51,"White",0,"4+ years college",10000,9.21034037197618
1,65,"White",0,"4+ years college",111800,11.6244668397031
0,90,"White",0,"4+ years college",57000,10.9508065468167
0,71,"White",0,"4+ years college",6300,8.74830491237962
1,71,"White",0,"HS",33000,10.4042628404486
0,67,"White",0,"HS",13800,9.5324238711453
0,24,"White",0,"HS",10000,9.21034037197618
1,76,"White",0,"HS",10900,9.29651806821724
1,64,"Other Asian or Pacific Islander",0,"4+ years college",160000,11.982929094216
1,32,"Two major races",0,"4+ years college",61000,11.0186291431554
1,26,"Black/African American/Negro",0,"HS",800,6.68461172766793
1,79,"White",0,"HS",30000,10.3089526606443
0,65,"White",0,"HS",78800,11.274668275846
0,44,"White",0,"HS",75000,11.2252433925184
1,67,"Black/African American/Negro",0,"Some college",14500,9.58190392840867
0,20,"White",0,"HS",5000,8.51719319141624
1,65,"White",0,"HS",12000,9.39266192877014
1,86,"Black/African American/Negro",0,"No HS",9600,9.16951837745593
0,40,"White",0,"4+ years college",45000,10.7144177687525
0,47,"White",0,"4+ years college",80000,11.289781913656
0,31,"White",0,"Some college",24000,10.0858091093301
1,55,"White",0,"4+ years college",105000,11.5617156291397
1,68,"White",0,"HS",21500,9.97580821411575
1,31,"White",0,"Some HS",8300,9.02401079378469
0,50,"White",0,"Some college",45000,10.7144177687525
1,29,"White",1,"4+ years college",50000,10.8197782844103
0,79,"White",0,"HS",38200,10.5505907945947
0,64,"White",0,"4+ years college",29000,10.2750511089686
1,56,"White",0,"4+ years college",47000,10.7579028806922
1,25,"White",0,"Some college",25000,10.1266311038503
0,23,"White",1,"HS",20000,9.90348755253613
0,45,"Other Asian or Pacific Islander",0,"4+ years college",80000,11.289781913656
1,44,"White",0,"Some college",25000,10.1266311038503
0,20,"Black/African American/Negro",0,"Some college",5000,8.51719319141624
1,49,"White",0,"HS",43000,10.6689553946757
1,42,"White",0,"Some HS",26500,10.1849000119743
1,54,"White",0,"4+ years college",13500,9.51044496442652
0,34,"White",0,"Some college",30000,10.3089526606443
1,58,"Other race, nec",1,"No HS",27000,10.2035921449865
0,19,"Black/African American/Negro",0,"HS",5000,8.51719319141624
0,62,"Two major races",0,"4+ years college",130010,11.7753666495562
1,20,"White",0,"HS",9100,9.11602969250494
0,28,"White",1,"HS",15000,9.61580548008435
0,20,"White",0,"Some college",18000,9.7981270368783
1,70,"Black/African American/Negro",0,"HS",21000,9.95227771670556
1,63,"Other race, nec",1,"Some HS",14400,9.57498348556409
0,61,"Black/African American/Negro",0,"HS",810,6.69703424766648
1,50,"White",1,"HS",37000,10.5186731916264
0,28,"Other race, nec",1,"Some college",24000,10.0858091093301
0,44,"White",0,"4+ years college",108000,11.5898865061064
0,65,"White",0,"HS",33100,10.4072885613652
0,38,"Other race, nec",1,"HS",27000,10.2035921449865
1,73,"White",0,"Some college",14800,9.60238245975221
1,79,"White",0,"4+ years college",82100,11.3156932954405
1,70,"Black/African American/Negro",0,"4+ years college",75000,11.2252433925184
1,19,"Black/African American/Negro",0,"Some college",6700,8.80986280537906
0,40,"Black/African American/Negro",0,"Some college",22900,10.0388921895423
0,24,"White",0,"4+ years college",6000,8.69951474821019
1,69,"White",0,"Some college",45540,10.7263463396177
0,65,"Two major races",0,"No HS",17800,9.78695373628018
1,24,"White",0,"Some college",12000,9.39266192877014
1,48,"White",0,"4+ years college",5200,8.55641390456952
0,31,"White",0,"HS",30000,10.3089526606443
0,34,"Other Asian or Pacific Islander",0,"4+ years college",32000,10.3734911817819
1,71,"White",0,"HS",7000,8.85366542803745
0,57,"White",0,"4+ years college",65720,11.0931585721512
0,43,"White",1,"HS",59000,10.9852927228879
0,18,"White",1,"Some HS",400,5.99146454710798
1,72,"White",0,"Some HS",83600,11.3337987990728
1,45,"White",0,"HS",39800,10.5916221912725
1,19,"Other Asian or Pacific Islander",0,"HS",5000,8.51719319141624
1,76,"White",0,"4+ years college",20400,9.92329017983231
0,80,"White",0,"HS",19700,9.88837391472608
0,40,"White",0,"4+ years college",50700,10.8336811895793
0,18,"White",0,"HS",1100,7.00306545878646
0,44,"Three or more major races",0,"Some college",2900,7.97246601597457
1,50,"White",0,"Some college",60000,11.0020998412042
1,77,"White",1,"HS",8400,9.03598698483141
0,38,"Other Asian or Pacific Islander",0,"4+ years college",65000,11.0821425488778
0,59,"White",0,"4+ years college",74000,11.2118203721863
1,49,"White",0,"4+ years college",50000,10.8197782844103
0,21,"Black/African American/Negro",0,"Some college",12000,9.39266192877014
1,49,"White",0,"HS",36000,10.4912742174382
1,84,"White",0,"Some college",43700,10.6851033810837
0,34,"White",0,"Some college",94000,11.4510500612521
1,56,"White",0,"HS",50000,10.8197782844103
1,62,"Black/African American/Negro",0,"HS",13000,9.47270463644367
1,75,"White",0,"4+ years college",62400,11.0413205543575
1,81,"White",0,"HS",6000,8.69951474821019
1,59,"Black/African American/Negro",0,"HS",42200,10.6501755000241
1,72,"White",0,"HS",18000,9.7981270368783
1,57,"White",0,"4+ years college",24000,10.0858091093301
0,36,"White",0,"4+ years college",119000,11.6868787720937
0,78,"White",0,"4+ years college",54600,10.907789161733
1,29,"White",0,"Some college",29500,10.2921455423279
1,57,"White",0,"4+ years college",38600,10.5610075554529
0,74,"White",0,"4+ years college",90600,11.4142094920311
1,60,"Other Asian or Pacific Islander",0,"4+ years college",45000,10.7144177687525
1,50,"White",0,"4+ years college",120000,11.6952470217642
0,55,"White",0,"HS",61000,11.0186291431554
1,54,"Two major races",0,"Some college",21200,9.9617564606601
0,54,"Black/African American/Negro",0,"Some HS",240,5.48063892334199
0,49,"White",0,"4+ years college",150000,11.9183905730784
0,73,"White",0,"HS",28600,10.2611619968079
0,47,"White",0,"HS",80000,11.289781913656
0,24,"White",0,"4+ years college",30000,10.3089526606443
0,48,"White",0,"HS",23500,10.0647557001323
1,89,"White",0,"HS",18900,9.84691720104773
0,35,"Other race, nec",1,"HS",68000,11.1272629841582
0,44,"White",0,"HS",5300,8.57546209954021
1,58,"White",0,"HS",88000,11.3850920934603
1,65,"White",0,"4+ years college",95500,11.4668815264688
1,30,"White",0,"Some HS",35000,10.4631033404715
1,27,"White",0,"4+ years college",33500,10.4193007178132
0,51,"White",0,"4+ years college",10000,9.21034037197618
0,55,"Black/African American/Negro",0,"4+ years college",90000,11.4075649493124
1,30,"White",0,"HS",8000,8.98719682066197
0,17,"White",0,"Some HS",1000,6.90775527898214
1,70,"White",0,"4+ years college",47000,10.7579028806922
1,40,"White",0,"HS",20600,9.93304635477767
0,69,"White",0,"4+ years college",55500,10.9241382997345
0,56,"White",0,"Some college",120000,11.6952470217642
0,88,"White",0,"4+ years college",179800,12.0996004010197
1,39,"White",0,"4+ years college",61000,11.0186291431554
0,67,"White",0,"4+ years college",53000,10.8780471925343
0,37,"White",0,"4+ years college",130000,11.7752897294377
1,63,"White",0,"4+ years college",150000,11.9183905730784
1,34,"White",1,"4+ years college",125000,11.7360690162844
0,47,"White",0,"4+ years college",55000,10.9150884642146
0,66,"White",1,"Some college",27000,10.2035921449865
0,81,"White",0,"Some HS",19000,9.85219425814858
0,34,"Other race, nec",1,"Some HS",37000,10.5186731916264
1,37,"White",0,"Some college",53000,10.8780471925343
0,56,"Other race, nec",1,"HS",95000,11.4616321705827
0,87,"Black/African American/Negro",0,"No HS",9300,9.13776967914135
1,21,"Two major races",0,"HS",14400,9.57498348556409
1,39,"White",0,"4+ years college",36000,10.4912742174382
1,59,"White",0,"Some college",65000,11.0821425488778
0,75,"White",0,"4+ years college",102600,11.5385932117188
1,32,"White",0,"4+ years college",71400,11.1760531483277
0,67,"Chinese",0,"HS",55000,10.9150884642146
1,50,"Other race, nec",1,"HS",46000,10.7363966754712
0,31,"White",0,"HS",20000,9.90348755253613
1,76,"White",0,"HS",7500,8.9226582995244
0,40,"White",0,"4+ years college",50000,10.8197782844103
0,70,"White",0,"4+ years college",18580,9.82984101236783
0,66,"Black/African American/Negro",0,"HS",6500,8.77955745588373
0,74,"Other race, nec",1,"No HS",8900,9.09380655572023
1,34,"Two major races",0,"4+ years college",60000,11.0020998412042
0,65,"Black/African American/Negro",0,"HS",30500,10.3254819625955
1,55,"Chinese",0,"4+ years college",30000,10.3089526606443
0,42,"White",0,"HS",1100,7.00306545878646
1,64,"White",0,"Some HS",40600,10.6115233455898
1,48,"White",0,"4+ years college",142000,11.8635823365834
0,32,"White",0,"HS",65000,11.0821425488778
1,87,"White",0,"Some college",42300,10.6525423650344
1,48,"White",0,"4+ years college",76000,11.2384886192685
1,29,"Black/African American/Negro",0,"HS",4900,8.49699048409872
1,28,"White",1,"HS",7300,8.89562962713648
0,21,"White",0,"HS",8800,9.0825070004663
1,36,"Other race, nec",1,"HS",16000,9.68034400122192
1,76,"White",0,"4+ years college",10500,9.25913053614561
0,55,"White",0,"4+ years college",168000,12.0317192583854
1,63,"White",0,"Some college",10500,9.25913053614561
1,47,"Black/African American/Negro",0,"Some college",14000,9.5468126085974
1,52,"White",0,"4+ years college",100000,11.5129254649702
1,38,"White",0,"HS",3400,8.13153071060425
0,57,"White",0,"HS",30000,10.3089526606443
0,72,"White",0,"HS",29960,10.3076184376312
0,37,"White",0,"4+ years college",566000,13.2463493571853
1,37,"Other Asian or Pacific Islander",0,"4+ years college",81000,11.3022044336546
0,44,"White",0,"4+ years college",165000,12.0137007528827
1,49,"White",0,"4+ years college",96000,11.47210347045
1,47,"White",0,"4+ years college",9400,9.14846496825809
0,44,"Black/African American/Negro",0,"4+ years college",35000,10.4631033404715
1,63,"White",0,"4+ years college",70100,11.1576780730227
0,40,"White",0,"HS",25000,10.1266311038503
1,43,"White",0,"HS",4300,8.36637030168165
0,47,"White",0,"HS",100000,11.5129254649702
1,24,"White",0,"4+ years college",60000,11.0020998412042
1,76,"Black/African American/Negro",0,"HS",1900,7.54960916515453
1,61,"White",0,"HS",9600,9.16951837745593
1,44,"White",0,"HS",25000,10.1266311038503
0,40,"Black/African American/Negro",0,"Some college",25300,10.1385596747156
0,31,"White",0,"4+ years college",10000,9.21034037197618
0,45,"White",1,"Some HS",31500,10.3577428248137
0,68,"White",0,"4+ years college",41300,10.6286177789491
0,16,"White",0,"Some HS",10600,9.26860928010016
0,34,"White",0,"Some college",35000,10.4631033404715
0,46,"White",0,"Some college",110900,11.6163841733385
1,70,"Chinese",0,"No HS",7000,8.85366542803745
1,61,"White",0,"HS",22900,10.0388921895423
1,81,"White",0,"HS",5000,8.51719319141624
0,62,"White",0,"HS",52700,10.8723707345295
0,20,"Other Asian or Pacific Islander",0,"HS",20000,9.90348755253613
1,31,"White",0,"4+ years college",75000,11.2252433925184
1,57,"Other race, nec",1,"Some college",30000,10.3089526606443
1,35,"Two major races",0,"4+ years college",95000,11.4616321705827
1,49,"American Indian or Alaska Native",0,"HS",14400,9.57498348556409
1,53,"White",0,"4+ years college",75000,11.2252433925184
0,39,"White",1,"HS",60000,11.0020998412042
1,25,"White",1,"4+ years college",60000,11.0020998412042
1,20,"White",0,"Some college",10600,9.26860928010016
1,66,"White",0,"No HS",16800,9.72913416539135
0,30,"White",0,"4+ years college",97000,11.4824662574855
1,30,"Black/African American/Negro",0,"4+ years college",90000,11.4075649493124
1,39,"Black/African American/Negro",0,"4+ years college",52000,10.8589989975636
0,36,"White",0,"HS",9100,9.11602969250494
0,24,"Black/African American/Negro",0,"HS",11700,9.36734412078585
1,70,"Black/African American/Negro",0,"4+ years college",33000,10.4042628404486
0,62,"White",0,"4+ years college",100000,11.5129254649702
1,23,"White",0,"HS",30000,10.3089526606443
1,27,"Black/African American/Negro",0,"HS",16200,9.69276652122048
1,57,"White",0,"HS",2000,7.60090245954208
0,37,"White",0,"HS",37500,10.5320962119585
0,40,"White",0,"4+ years college",101000,11.5228757958234
1,54,"Other Asian or Pacific Islander",0,"Some HS",40000,10.5966347330961
0,28,"White",0,"Some college",12000,9.39266192877014
1,25,"Other Asian or Pacific Islander",0,"4+ years college",55000,10.9150884642146
0,39,"White",0,"4+ years college",59000,10.9852927228879
1,27,"White",0,"4+ years college",27500,10.2219412836547
1,70,"White",0,"4+ years college",53000,10.8780471925343
0,24,"White",0,"Some college",39000,10.5713169251118
1,69,"White",0,"4+ years college",24300,10.0982316293286
0,42,"Black/African American/Negro",0,"4+ years college",50000,10.8197782844103
0,68,"White",1,"4+ years college",551000,13.2194900881351
0,24,"White",0,"HS",3700,8.21608809863232
1,67,"Black/African American/Negro",0,"HS",39200,10.5764320257786
1,59,"Black/African American/Negro",0,"HS",16000,9.68034400122192
1,80,"Black/African American/Negro",1,"HS",13800,9.5324238711453
0,46,"White",0,"4+ years college",200500,12.2085695257288
1,63,"White",0,"Some college",1600,7.37775890822787
0,72,"White",0,"Some college",153300,11.9401520648599
1,39,"Two major races",0,"4+ years college",115300,11.6552927062571
1,40,"White",0,"Some college",9600,9.16951837745593
1,56,"White",0,"Some college",24800,10.1185989321531
0,25,"White",0,"4+ years college",75000,11.2252433925184
0,49,"White",0,"HS",145000,11.8844890214027
1,24,"White",0,"Some college",22600,10.0257051852604
0,66,"White",0,"Some college",24000,10.0858091093301
0,69,"White",0,"4+ years college",100000,11.5129254649702
1,39,"White",0,"4+ years college",200000,12.2060726455302
1,33,"White",0,"4+ years college",47500,10.7684849900227
1,66,"White",0,"Some college",10200,9.23014299927236
1,27,"Black/African American/Negro",0,"4+ years college",50000,10.8197782844103
1,66,"White",0,"4+ years college",24000,10.0858091093301
1,80,"White",0,"4+ years college",367700,12.8150226672894
0,36,"White",0,"4+ years college",400000,12.8992198260901
0,66,"White",0,"HS",19600,9.88328484521861
0,59,"White",0,"Some college",71000,11.1704351560235
0,35,"Black/African American/Negro",0,"No HS",6000,8.69951474821019
0,59,"White",1,"HS",20000,9.90348755253613
1,94,"White",0,"HS",9600,9.16951837745593
1,43,"White",0,"Some college",50000,10.8197782844103
1,38,"White",0,"4+ years college",73000,11.1982147201305
1,50,"White",0,"Some college",850,6.74523634948436
0,25,"White",0,"Some HS",7000,8.85366542803745
0,68,"Chinese",0,"No HS",4200,8.34283980427146
1,48,"White",0,"4+ years college",30000,10.3089526606443
1,23,"Other race, nec",1,"Some college",13000,9.47270463644367
1,26,"Black/African American/Negro",0,"Some college",23000,10.0432494949113
1,85,"White",0,"4+ years college",47600,10.7705880402195
1,33,"White",0,"4+ years college",38000,10.5453414387085
0,64,"White",0,"4+ years college",22400,10.0168162378431
0,29,"White",1,"Some HS",14000,9.5468126085974
0,47,"Other race, nec",1,"HS",65000,11.0821425488778
0,37,"Other race, nec",1,"Some college",27800,10.2327912996787
0,30,"Other Asian or Pacific Islander",0,"No HS",47000,10.7579028806922
0,34,"Other race, nec",1,"Some college",22200,10.0078475678604
1,64,"Black/African American/Negro",0,"HS",20060,9.90648306151593
1,41,"White",0,"4+ years college",100050,11.5134253400119
1,40,"White",0,"4+ years college",57000,10.9508065468167
0,65,"White",0,"HS",2600,7.86326672400957
1,66,"White",0,"Some college",3800,8.24275634571448
1,47,"Black/African American/Negro",0,"Some college",41000,10.6213273456864
0,39,"White",0,"Some college",100000,11.5129254649702
1,58,"White",0,"Some college",12900,9.46498259034976
1,58,"Black/African American/Negro",0,"Some college",40000,10.5966347330961
0,63,"American Indian or Alaska Native",0,"Some college",66000,11.0974100210086
1,46,"White",1,"4+ years college",13500,9.51044496442652
0,46,"White",0,"HS",96000,11.47210347045
0,38,"Black/African American/Negro",0,"HS",20000,9.90348755253613
0,36,"White",0,"4+ years college",52000,10.8589989975636
1,53,"Black/African American/Negro",0,"4+ years college",47100,10.7600282800045
1,37,"White",0,"HS",45300,10.7210623114711
0,21,"White",1,"Some college",13000,9.47270463644367
1,79,"White",0,"Some HS",15300,9.63560810738053
1,26,"White",0,"4+ years college",52000,10.8589989975636
0,50,"White",0,"HS",38000,10.5453414387085
0,28,"White",0,"4+ years college",56000,10.9331069697173
1,62,"White",0,"4+ years college",44100,10.6942150614349
1,54,"White",0,"Some college",48000,10.77895628989
1,67,"White",0,"HS",8300,9.02401079378469
1,32,"White",0,"Some HS",16000,9.68034400122192
1,60,"Black/African American/Negro",0,"HS",76000,11.2384886192685
1,18,"White",0,"Some college",14000,9.5468126085974
1,29,"Two major races",0,"HS",3000,8.00636756765025
1,77,"White",0,"HS",17200,9.75266466280154
0,44,"Two major races",0,"4+ years college",60000,11.0020998412042
0,29,"Black/African American/Negro",0,"HS",7000,8.85366542803745
0,32,"Black/African American/Negro",0,"HS",10000,9.21034037197618
0,26,"White",0,"4+ years college",38000,10.5453414387085
0,45,"Black/African American/Negro",0,"HS",300,5.7037824746562
0,24,"White",1,"HS",20000,9.90348755253613
0,31,"White",0,"HS",2400,7.78322401633604
1,52,"White",0,"4+ years college",40000,10.5966347330961
1,54,"White",1,"Some college",48900,10.797532675463
1,67,"White",0,"HS",45800,10.7320393701023
0,33,"White",0,"HS",50000,10.8197782844103
1,69,"White",0,"4+ years college",22690,10.0296795777739
0,43,"White",0,"4+ years college",70000,11.1562505210315
1,51,"White",0,"4+ years college",40000,10.5966347330961
0,33,"Black/African American/Negro",0,"HS",95000,11.4616321705827
0,26,"Black/African American/Negro",0,"HS",15000,9.61580548008435
1,46,"Black/African American/Negro",0,"4+ years college",70000,11.1562505210315
1,74,"White",0,"HS",60800,11.0153450679543
0,27,"White",0,"Some college",28000,10.2399597891573
0,32,"White",1,"4+ years college",103000,11.5424842672118
0,25,"Other race, nec",1,"4+ years college",20900,9.9475044379529
1,64,"White",0,"HS",24000,10.0858091093301
0,59,"White",0,"4+ years college",115200,11.6544250272439
0,35,"White",0,"HS",35000,10.4631033404715
1,46,"White",0,"HS",28000,10.2399597891573
0,36,"Other race, nec",1,"HS",28000,10.2399597891573
1,59,"White",0,"4+ years college",108000,11.5898865061064
1,31,"Black/African American/Negro",0,"HS",30000,10.3089526606443
0,72,"White",0,"HS",21600,9.98044859367226
1,77,"Black/African American/Negro",0,"HS",24600,10.1105017219205
1,56,"White",0,"4+ years college",36020,10.4918296187299
0,34,"Other race, nec",1,"Some college",65000,11.0821425488778
1,38,"White",0,"Some college",12000,9.39266192877014
0,50,"White",0,"HS",5800,8.66561319653451
1,44,"White",0,"4+ years college",69000,11.1418617835794
0,56,"White",0,"4+ years college",148000,11.9049675527463
1,76,"Black/African American/Negro",0,"4+ years college",30000,10.3089526606443
1,27,"White",0,"4+ years college",39800,10.5916221912725
0,17,"Other race, nec",1,"Some HS",1600,7.37775890822787
0,37,"White",1,"No HS",20000,9.90348755253613
1,46,"White",0,"Some college",61000,11.0186291431554
0,66,"Black/African American/Negro",0,"Some college",8900,9.09380655572023
1,26,"Black/African American/Negro",0,"Some college",40000,10.5966347330961
0,33,"White",0,"Some college",40000,10.5966347330961
0,72,"Black/African American/Negro",0,"4+ years college",113000,11.6351430976945
1,62,"White",0,"HS",21700,9.98506753952855
1,51,"White",0,"Some college",145000,11.8844890214027
0,53,"White",0,"4+ years college",58720,10.9805356632884
0,55,"White",0,"HS",35000,10.4631033404715
0,26,"White",1,"HS",20000,9.90348755253613
0,48,"White",0,"Some HS",25000,10.1266311038503
1,37,"White",0,"4+ years college",64000,11.0666383623418
1,50,"Chinese",0,"HS",60000,11.0020998412042
1,49,"Japanese",0,"4+ years college",89500,11.4019939042629
0,49,"White",1,"Some college",120000,11.6952470217642
0,61,"White",0,"4+ years college",90000,11.4075649493124
1,68,"White",0,"HS",7900,8.97461803845511
1,59,"Black/African American/Negro",0,"HS",33000,10.4042628404486
0,35,"Black/African American/Negro",0,"HS",100000,11.5129254649702
0,52,"White",0,"4+ years college",90000,11.4075649493124
1,77,"White",1,"HS",8500,9.04782144247841
1,30,"Other race, nec",1,"No HS",25000,10.1266311038503
0,65,"White",0,"No HS",23200,10.0519075576544
1,94,"White",0,"Some college",26300,10.1773242181659
0,88,"White",0,"4+ years college",48000,10.77895628989
1,53,"White",0,"HS",11000,9.30565055178051
0,65,"White",0,"4+ years college",7200,8.88183630500415
1,24,"White",0,"HS",17000,9.74096862303835
1,22,"White",0,"Some college",6100,8.7160440501614
0,45,"White",1,"Some college",70000,11.1562505210315
0,27,"Black/African American/Negro",0,"Some college",38000,10.5453414387085
0,41,"White",0,"4+ years college",50000,10.8197782844103
1,35,"White",1,"HS",15600,9.65502619323763
1,36,"White",1,"Some college",18000,9.7981270368783
0,33,"White",0,"4+ years college",120000,11.6952470217642
0,45,"White",1,"4+ years college",129000,11.7675676833438
1,38,"Other race, nec",1,"No HS",12000,9.39266192877014
1,56,"White",1,"Some college",97000,11.4824662574855
0,20,"White",0,"Some college",6300,8.74830491237962
0,47,"Black/African American/Negro",0,"HS",30000,10.3089526606443
1,59,"White",0,"Some college",80000,11.289781913656
1,94,"White",0,"HS",49300,10.8056793600308
1,23,"White",0,"HS",7500,8.9226582995244
0,56,"White",0,"HS",130000,11.7752897294377
1,19,"White",0,"Some college",6000,8.69951474821019
1,30,"Two major races",0,"4+ years college",34000,10.4341158035983
0,21,"White",0,"Some HS",11400,9.34136863438259
1,43,"White",0,"HS",43000,10.6689553946757
1,20,"White",0,"HS",13500,9.51044496442652
1,44,"White",0,"Some college",4000,8.29404964010203
1,26,"White",0,"Some college",10000,9.21034037197618
0,61,"White",0,"4+ years college",164000,12.0076217068063
0,39,"White",1,"HS",60000,11.0020998412042
1,89,"Black/African American/Negro",0,"HS",9300,9.13776967914135
1,53,"White",0,"HS",600,6.39692965521615
0,78,"White",0,"No HS",15000,9.61580548008435
1,88,"White",1,"Some HS",17400,9.76422548520262
1,19,"White",0,"HS",1000,6.90775527898214
0,68,"White",0,"4+ years college",27600,10.2255710517052
0,35,"White",1,"No HS",21400,9.97114620100994
0,52,"White",0,"Some college",50050,10.8207777847434
0,48,"White",0,"4+ years college",145200,11.8858673813728
0,46,"Other Asian or Pacific Islander",0,"4+ years college",90000,11.4075649493124
1,64,"White",0,"HS",21920,9.99515474106195
1,66,"Other race, nec",1,"No HS",15000,9.61580548008435
1,30,"White",0,"Some college",14000,9.5468126085974
1,34,"Chinese",0,"4+ years college",46000,10.7363966754712
0,49,"White",0,"HS",46000,10.7363966754712
0,26,"White",1,"No HS",25000,10.1266311038503
0,24,"White",0,"HS",56000,10.9331069697173
0,36,"White",0,"Some college",15000,9.61580548008435
1,67,"White",0,"HS",9600,9.16951837745593
1,29,"Black/African American/Negro",0,"Some HS",13000,9.47270463644367
1,41,"Two major races",1,"No HS",19000,9.85219425814858
0,36,"White",0,"HS",15600,9.65502619323763
0,23,"White",0,"Some college",34000,10.4341158035983
1,55,"White",0,"4+ years college",98000,11.4927227576527
0,42,"White",0,"Some college",132000,11.7905572015685
1,21,"White",1,"HS",25000,10.1266311038503
0,53,"Black/African American/Negro",0,"Some college",12700,9.44935727244668
0,35,"Other Asian or Pacific Islander",0,"4+ years college",130300,11.7775947631129
1,36,"White",0,"HS",31900,10.3703612887729
0,19,"White",0,"Some college",41700,10.6382564077869
0,70,"Black/African American/Negro",0,"HS",7200,8.88183630500415
1,52,"White",0,"4+ years college",19000,9.85219425814858
0,52,"White",0,"4+ years college",493000,13.1082644530248
1,36,"White",0,"HS",8370,9.03240916348352
0,58,"Black/African American/Negro",0,"HS",50000,10.8197782844103
0,57,"Other Asian or Pacific Islander",0,"4+ years college",7510,8.92399074475818
0,35,"White",0,"HS",9400,9.14846496825809
1,81,"White",0,"HS",33400,10.4163111789648
0,24,"Chinese",0,"Some college",25000,10.1266311038503
1,28,"Chinese",0,"4+ years college",10200,9.23014299927236
1,61,"Black/African American/Negro",0,"4+ years college",60000,11.0020998412042
0,34,"White",0,"4+ years college",49000,10.7995755770928
1,63,"White",0,"4+ years college",81000,11.3022044336546
0,28,"Black/African American/Negro",0,"4+ years college",46000,10.7363966754712
1,26,"Other Asian or Pacific Islander",0,"Some HS",10200,9.23014299927236
1,39,"White",0,"4+ years college",45200,10.7188523658203
0,25,"White",1,"No HS",16000,9.68034400122192
1,29,"White",0,"4+ years college",35000,10.4631033404715
0,58,"White",0,"HS",85000,11.3504065354725
