"female","age","race","hispanic","education","income","log_income"
1,81,"Black/African American/Negro",0,"HS",10000,9.21034037197618
0,70,"White",0,"HS",36000,10.4912742174382
1,52,"White",0,"4+ years college",23700,10.0732303271232
0,57,"White",0,"4+ years college",200000,12.2060726455302
1,68,"White",0,"4+ years college",28100,10.2435248553218
1,61,"Black/African American/Negro",0,"HS",9100,9.11602969250494
1,31,"Chinese",0,"4+ years college",60000,11.0020998412042
1,63,"White",0,"HS",85000,11.3504065354725
1,50,"White",0,"4+ years college",20000,9.90348755253613
0,68,"White",0,"4+ years college",52000,10.8589989975636
0,49,"White",0,"4+ years college",95000,11.4616321705827
0,86,"White",1,"HS",13100,9.48036750918924
0,47,"Other Asian or Pacific Islander",0,"4+ years college",230000,12.3458345879053
0,46,"Other race, nec",1,"HS",13000,9.47270463644367
0,56,"White",0,"4+ years college",27800,10.2327912996787
0,69,"White",0,"4+ years college",22100,10.0033328875058
1,53,"White",1,"No HS",18700,9.83627880284268
1,32,"White",1,"4+ years college",52000,10.8589989975636
0,31,"Other Asian or Pacific Islander",0,"HS",87000,11.3736633976367
1,31,"White",0,"HS",7200,8.88183630500415
1,62,"Other Asian or Pacific Islander",0,"Some HS",80000,11.289781913656
1,23,"White",0,"4+ years college",30000,10.3089526606443
1,32,"White",0,"Some college",9000,9.10497985631836
0,58,"White",0,"HS",40000,10.5966347330961
0,67,"White",0,"4+ years college",8600,9.0595174822416
0,58,"White",0,"4+ years college",100000,11.5129254649702
1,27,"White",0,"HS",15000,9.61580548008435
1,66,"Black/African American/Negro",0,"HS",34300,10.442900633154
1,25,"White",0,"HS",27800,10.2327912996787
0,60,"White",0,"Some college",20000,9.90348755253613
1,22,"White",0,"Some college",8000,8.98719682066197
0,21,"Black/African American/Negro",0,"Some college",2400,7.78322401633604
0,62,"White",1,"HS",26000,10.1658518170036
1,39,"White",0,"4+ years college",41300,10.6286177789491
1,17,"White",0,"Some HS",4500,8.41183267575841
0,41,"Other Asian or Pacific Islander",0,"4+ years college",201000,12.2110601870412
0,74,"White",0,"Some college",32000,10.3734911817819
1,18,"Black/African American/Negro",0,"HS",2000,7.60090245954208
1,45,"White",0,"Some college",7000,8.85366542803745
1,66,"White",0,"4+ years college",7200,8.88183630500415
1,38,"White",0,"4+ years college",76000,11.2384886192685
1,47,"White",0,"HS",53600,10.8893043470589
0,67,"Black/African American/Negro",0,"HS",16600,9.71715797434464
1,53,"White",0,"Some college",37500,10.5320962119585
1,41,"White",0,"4+ years college",78000,11.2644641056717
0,30,"White",0,"Some HS",40000,10.5966347330961
0,33,"White",0,"Some college",6600,8.79482492801452
1,50,"Black/African American/Negro",0,"HS",12800,9.45720044990771
1,75,"White",0,"HS",9600,9.16951837745593
0,25,"Two major races",0,"HS",2400,7.78322401633604
0,28,"White",1,"Some college",20000,9.90348755253613
0,27,"White",0,"HS",9000,9.10497985631836
0,54,"White",0,"Some college",15000,9.61580548008435
0,60,"White",0,"HS",39000,10.5713169251118
0,44,"Other Asian or Pacific Islander",0,"4+ years college",101000,11.5228757958234
1,51,"White",1,"HS",22200,10.0078475678604
0,42,"White",0,"4+ years college",10000,9.21034037197618
1,58,"Other race, nec",1,"No HS",17800,9.78695373628018
1,55,"White",0,"Some college",60000,11.0020998412042
0,53,"White",0,"4+ years college",17000,9.74096862303835
1,28,"White",0,"HS",52000,10.8589989975636
1,53,"Black/African American/Negro",0,"Some college",35000,10.4631033404715
0,49,"White",0,"Some college",55000,10.9150884642146
1,19,"Two major races",0,"HS",7000,8.85366542803745
0,66,"White",0,"HS",11000,9.30565055178051
0,74,"Black/African American/Negro",0,"HS",14400,9.57498348556409
0,28,"White",0,"HS",50000,10.8197782844103
0,45,"White",0,"HS",65000,11.0821425488778
1,20,"White",0,"HS",16000,9.68034400122192
1,20,"Other Asian or Pacific Islander",0,"HS",1800,7.49554194388426
1,59,"White",0,"4+ years college",116000,11.6613454700885
0,58,"White",0,"Some HS",21700,9.98506753952855
1,29,"White",1,"HS",45000,10.7144177687525
0,42,"White",0,"HS",1200,7.09007683577609
0,84,"White",0,"Some college",35170,10.467948725468
0,58,"White",0,"HS",56000,10.9331069697173
1,62,"White",0,"HS",88000,11.3850920934603
1,32,"White",1,"Some college",30000,10.3089526606443
0,64,"Black/African American/Negro",0,"Some HS",45000,10.7144177687525
1,25,"White",1,"HS",8800,9.0825070004663
0,61,"White",0,"HS",40000,10.5966347330961
1,20,"White",0,"HS",14010,9.54752663933105
1,71,"White",0,"HS",38100,10.5479695611148
1,42,"White",0,"4+ years college",30500,10.3254819625955
0,57,"Black/African American/Negro",0,"Some college",8500,9.04782144247841
1,40,"White",0,"4+ years college",39000,10.5713169251118
0,29,"White",0,"HS",15000,9.61580548008435
1,44,"Other Asian or Pacific Islander",0,"4+ years college",45000,10.7144177687525
0,37,"White",0,"Some college",27000,10.2035921449865
1,52,"Other race, nec",1,"Some college",16000,9.68034400122192
1,49,"White",1,"4+ years college",8300,9.02401079378469
1,51,"White",0,"Some college",9900,9.20029003612268
1,68,"Black/African American/Negro",0,"HS",26900,10.1998815655899
1,21,"White",0,"Some college",2400,7.78322401633604
1,25,"White",0,"Some college",51000,10.8395809117065
0,73,"White",0,"Some college",30000,10.3089526606443
1,50,"White",1,"4+ years college",95000,11.4616321705827
1,72,"White",1,"No HS",5900,8.68270762989381
0,34,"Black/African American/Negro",0,"4+ years college",35000,10.4631033404715
1,95,"White",0,"HS",15400,9.64212278840172
0,44,"White",0,"HS",60000,11.0020998412042
0,60,"White",0,"4+ years college",100000,11.5129254649702
1,34,"White",0,"Some HS",25400,10.1425044530066
0,29,"White",0,"4+ years college",41500,10.6334487062188
0,55,"Black/African American/Negro",0,"HS",20000,9.90348755253613
1,31,"White",1,"4+ years college",53000,10.8780471925343
1,30,"White",0,"4+ years college",70000,11.1562505210315
1,81,"White",0,"HS",61900,11.0332754586727
1,61,"White",0,"4+ years college",55000,10.9150884642146
0,62,"White",0,"Some college",23000,10.0432494949113
0,21,"White",1,"HS",12000,9.39266192877014
0,35,"White",0,"4+ years college",170000,12.0435537160324
1,45,"Other Asian or Pacific Islander",0,"Some college",22000,9.99879773234045
0,25,"White",0,"HS",17000,9.74096862303835
1,55,"Black/African American/Negro",0,"HS",21700,9.98506753952855
1,62,"White",0,"Some college",60000,11.0020998412042
1,63,"White",0,"No HS",27000,10.2035921449865
0,37,"Other race, nec",1,"No HS",25000,10.1266311038503
0,27,"White",0,"HS",23000,10.0432494949113
0,64,"White",0,"HS",26020,10.1666207520665
0,32,"White",0,"4+ years college",173000,12.0610468734799
1,35,"White",1,"Some college",27200,10.2109722522841
1,69,"White",1,"No HS",2700,7.90100705199242
0,63,"White",0,"4+ years college",130000,11.7752897294377
0,35,"White",0,"Some college",100000,11.5129254649702
1,58,"White",0,"Some college",19000,9.85219425814858
0,30,"White",0,"No HS",8500,9.04782144247841
1,39,"White",0,"HS",5000,8.51719319141624
1,89,"White",0,"HS",21000,9.95227771670556
1,36,"White",1,"4+ years college",52200,10.8628377738707
1,21,"White",0,"4+ years college",9800,9.19013766465866
1,20,"Black/African American/Negro",0,"Some college",6000,8.69951474821019
1,53,"White",0,"Some college",63000,11.0508900053737
0,50,"Other Asian or Pacific Islander",0,"4+ years college",120000,11.6952470217642
0,56,"White",0,"4+ years college",90000,11.4075649493124
0,23,"White",0,"Some HS",22900,10.0388921895423
0,72,"White",0,"4+ years college",25000,10.1266311038503
1,36,"White",1,"4+ years college",39000,10.5713169251118
0,27,"White",1,"HS",35000,10.4631033404715
1,74,"Black/African American/Negro",0,"Some HS",30000,10.3089526606443
0,33,"White",1,"HS",68000,11.1272629841582
0,83,"White",0,"HS",22000,9.99879773234045
1,58,"White",0,"4+ years college",40000,10.5966347330961
1,41,"Black/African American/Negro",0,"Some college",41100,10.6237634004843
1,49,"White",0,"HS",30000,10.3089526606443
0,61,"White",1,"Some HS",50000,10.8197782844103
0,41,"White",1,"Some HS",9500,9.15904707758863
0,58,"White",0,"4+ years college",158080,11.9708565129817
0,61,"White",0,"Some college",60000,11.0020998412042
1,21,"White",0,"4+ years college",4000,8.29404964010203
0,56,"White",1,"4+ years college",130000,11.7752897294377
1,25,"White",0,"HS",7500,8.9226582995244
1,60,"White",0,"4+ years college",125000,11.7360690162844
0,40,"White",0,"4+ years college",100000,11.5129254649702
1,62,"White",0,"4+ years college",107650,11.5866405027925
0,59,"White",0,"Some college",70000,11.1562505210315
1,71,"White",0,"Some HS",12000,9.39266192877014
0,55,"White",0,"Some college",35000,10.4631033404715
1,70,"Black/African American/Negro",0,"No HS",7000,8.85366542803745
1,33,"White",0,"Some college",32000,10.3734911817819
0,45,"White",0,"HS",19000,9.85219425814858
1,20,"White",1,"Some college",400,5.99146454710798
1,29,"Black/African American/Negro",0,"4+ years college",14000,9.5468126085974
0,36,"Chinese",0,"4+ years college",65000,11.0821425488778
1,22,"Black/African American/Negro",0,"HS",4300,8.36637030168165
1,63,"White",0,"4+ years college",89580,11.4028873597613
0,40,"Other Asian or Pacific Islander",0,"Some college",15000,9.61580548008435
0,75,"White",1,"No HS",16000,9.68034400122192
1,63,"White",0,"HS",32000,10.3734911817819
1,19,"White",1,"HS",10000,9.21034037197618
0,79,"White",1,"No HS",12000,9.39266192877014
0,68,"White",0,"HS",62100,11.0365012679216
1,58,"White",0,"HS",20500,9.9281801651265
0,57,"White",0,"Some college",20800,9.94270826568941
0,64,"White",0,"HS",9700,9.17988116449147
1,31,"White",0,"HS",10500,9.25913053614561
0,50,"White",1,"HS",40000,10.5966347330961
1,52,"White",0,"4+ years college",295000,12.594730635322
1,38,"White",0,"Some college",14000,9.5468126085974
0,25,"White",0,"HS",10000,9.21034037197618
0,71,"White",0,"Some college",41900,10.6430411059102
0,65,"White",0,"Some college",45200,10.7188523658203
0,27,"White",0,"4+ years college",40000,10.5966347330961
1,87,"White",0,"HS",1500,7.3132203870903
1,27,"White",0,"HS",27100,10.2072890068678
0,63,"White",1,"No HS",12000,9.39266192877014
0,25,"White",0,"HS",20000,9.90348755253613
1,60,"White",0,"HS",14640,9.5915127875153
1,37,"White",0,"4+ years college",63000,11.0508900053737
0,58,"White",0,"Some HS",10200,9.23014299927236
1,51,"White",0,"HS",12700,9.44935727244668
1,72,"Other Asian or Pacific Islander",0,"HS",54000,10.8967393255464
1,40,"White",0,"4+ years college",20000,9.90348755253613
1,37,"Two major races",0,"4+ years college",165000,12.0137007528827
1,56,"Black/African American/Negro",0,"4+ years college",2000,7.60090245954208
1,36,"White",0,"4+ years college",83000,11.3265958867787
1,62,"White",0,"Some college",41690,10.6380165708748
0,22,"White",0,"HS",4000,8.29404964010203
0,56,"White",0,"4+ years college",40500,10.6090572530946
1,89,"White",0,"Some college",8200,9.01188943325234
0,31,"White",0,"4+ years college",60000,11.0020998412042
0,37,"White",0,"HS",60000,11.0020998412042
0,73,"White",0,"Some college",12880,9.46343099965834
0,59,"White",1,"4+ years college",3000,8.00636756765025
0,47,"White",0,"HS",75070,11.226176290567
1,54,"White",0,"HS",12000,9.39266192877014
1,21,"White",1,"Some college",25000,10.1266311038503
1,86,"White",0,"Some HS",23300,10.0562086395538
0,50,"Other race, nec",1,"4+ years college",40000,10.5966347330961
1,59,"White",0,"HS",4500,8.41183267575841
0,18,"Other Asian or Pacific Islander",0,"HS",4000,8.29404964010203
1,52,"White",0,"Some college",9100,9.11602969250494
1,46,"Other race, nec",1,"Some HS",20000,9.90348755253613
0,77,"White",0,"HS",12900,9.46498259034976
0,67,"White",0,"Some college",15000,9.61580548008435
1,40,"Black/African American/Negro",0,"Some college",5000,8.51719319141624
1,82,"Black/African American/Negro",0,"HS",12300,9.41735454136051
0,50,"White",0,"Some college",150000,11.9183905730784
0,31,"White",0,"Some college",12000,9.39266192877014
1,82,"White",0,"HS",20900,9.9475044379529
1,85,"White",0,"Some college",23300,10.0562086395538
1,35,"Black/African American/Negro",0,"4+ years college",46000,10.7363966754712
0,34,"White",0,"HS",3000,8.00636756765025
1,64,"White",1,"No HS",8400,9.03598698483141
0,18,"White",0,"HS",6000,8.69951474821019
0,19,"Other race, nec",1,"Some HS",4500,8.41183267575841
1,86,"White",0,"HS",22000,9.99879773234045
1,21,"White",0,"4+ years college",12100,9.40096073158483
1,76,"Black/African American/Negro",0,"Some college",35000,10.4631033404715
1,81,"White",0,"Some college",20630,9.9345016060653
1,31,"White",0,"4+ years college",45900,10.7342203960486
1,20,"White",0,"HS",9000,9.10497985631836
1,19,"White",0,"HS",2000,7.60090245954208
1,71,"White",0,"HS",9200,9.12695876303713
1,53,"White",0,"4+ years college",29200,10.2819239882564
1,30,"Black/African American/Negro",0,"4+ years college",60000,11.0020998412042
1,56,"White",0,"4+ years college",68000,11.1272629841582
1,50,"White",0,"Some college",17900,9.79255599182885
0,32,"Black/African American/Negro",0,"HS",35000,10.4631033404715
1,37,"White",0,"4+ years college",66000,11.0974100210086
1,23,"White",0,"HS",34000,10.4341158035983
0,67,"White",0,"HS",40600,10.6115233455898
0,15,"Black/African American/Negro",0,"No HS",2000,7.60090245954208
1,65,"White",0,"Some college",10000,9.21034037197618
0,26,"White",0,"HS",8700,9.07107830464268
0,29,"American Indian or Alaska Native",0,"4+ years college",54000,10.8967393255464
0,29,"White",0,"4+ years college",24000,10.0858091093301
1,27,"Chinese",0,"4+ years college",50000,10.8197782844103
0,58,"White",0,"HS",51600,10.8512769514697
1,55,"White",0,"HS",12000,9.39266192877014
0,40,"White",0,"Some college",8600,9.0595174822416
0,56,"White",0,"HS",60000,11.0020998412042
1,72,"White",0,"4+ years college",56600,10.9437642641913
1,69,"Three or more major races",0,"4+ years college",23300,10.0562086395538
0,31,"White",1,"Some college",14300,9.568014816248
1,31,"White",0,"4+ years college",14500,9.58190392840867
0,67,"White",0,"4+ years college",171020,12.0495357877099
1,54,"American Indian or Alaska Native",0,"Some college",30000,10.3089526606443
1,90,"White",0,"Some college",9300,9.13776967914135
1,79,"White",0,"No HS",11800,9.37585481045376
1,53,"Black/African American/Negro",0,"4+ years college",70000,11.1562505210315
1,60,"White",0,"HS",31700,10.3640719598654
1,29,"White",0,"4+ years college",50000,10.8197782844103
1,29,"White",0,"Some college",28000,10.2399597891573
1,24,"Other race, nec",1,"HS",28000,10.2399597891573
1,69,"White",0,"HS",13400,9.503009985939
1,45,"White",0,"Some college",10400,9.24956108512946
1,57,"Black/African American/Negro",0,"Some HS",10000,9.21034037197618
0,75,"White",0,"HS",32060,10.3753644261635
1,64,"White",0,"HS",33600,10.4222813459513
0,26,"Two major races",0,"4+ years college",35000,10.4631033404715
1,61,"Black/African American/Negro",0,"Some college",159100,11.9772882143259
0,36,"White",0,"Some HS",28000,10.2399597891573
0,42,"White",0,"HS",24000,10.0858091093301
0,24,"White",0,"Some college",32000,10.3734911817819
1,37,"White",0,"4+ years college",68000,11.1272629841582
1,17,"White",0,"Some HS",300,5.7037824746562
1,16,"White",1,"Some HS",1000,6.90775527898214
1,35,"White",1,"Some college",40000,10.5966347330961
0,44,"White",0,"Some college",45000,10.7144177687525
1,79,"White",0,"HS",56000,10.9331069697173
1,30,"White",0,"4+ years college",104000,11.5521461781235
0,54,"White",1,"No HS",27600,10.2255710517052
0,48,"White",1,"Some HS",46000,10.7363966754712
1,65,"Black/African American/Negro",0,"HS",40000,10.5966347330961
1,70,"Black/African American/Negro",0,"4+ years college",59500,10.9937315915337
0,73,"White",0,"4+ years college",87100,11.3748121628406
1,19,"White",0,"Some college",14200,9.56099724358935
1,56,"White",1,"Some college",18000,9.7981270368783
1,29,"White",1,"Some HS",15000,9.61580548008435
0,41,"Other race, nec",1,"No HS",8600,9.0595174822416
1,85,"White",0,"No HS",24400,10.1023384112813
